place_id,name,brand,category,confidence,datasets,address,city,state,zip,phone,website,email,socials,operating_status,lat,lon,geom
000017f7-93a8-4777-bd5d-cd5e35001025,Phillips 66,Phillips 66 Gas,gas_station,0.7519882321357727,"{meta,Overture,Overture-signals,Overture-signals,Overture-signals}",72922 Baker Blvd,Baker,CA,92309,+17607331048,http://www.phillips66gas.com/,,{https://www.facebook.com/1625283031088077},open,35.277379291406575,-116.0571064164153,POINT(-116.0571064164153 35.277379291406575)
00003033-a8cf-4451-84e0-505e8543ff80,Shell,Shell,gas_station,0.9199122190475464,"{meta,Overture,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals}",601 Edgemoor Rd,Powell,TN,37849-7146,+18659452333,https://find.shell.com/us/fuel/10015392-601-edgemoor-rd,shellcustomercare@shell.com,{https://www.facebook.com/118184682146286},open,36.03584269,-84.12984859,POINT(-84.12984859 36.03584269)
0000e81c-13af-4877-b025-9f3ce56ff6df,Exxon,,gas_station,0.9199122190475464,"{Foursquare,Overture,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals}",17 Lane St,Yemassee,SC,29945,(843) 589-2016,http://exxon.com,,,open,32.70693407664301,-80.87196845063445,POINT(-80.87196845063445 32.70693407664301)
00030818-7b9a-458c-9128-dadde2e542c6,BP,,gas_station,0.85,"{Microsoft,Overture}",2170 Dale Earnhardt Blvd,Kannapolis,NC,28083,7049333335,http://mybpstation.com/,,,,35.472497,-80.596528,POINT(-80.596528 35.472497)
0003bb51-477e-438e-9989-247d0402c1cc,Sinclair Gas Station,,gas_station,0.9199122190475464,"{Microsoft,Overture,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals}",1801 East Avenue West,Wisner,NE,68791,4025293562,https://www.sinclairoil.com/,,,open,41.991619915924254,-96.92313562756061,POINT(-96.92313562756061 41.991619915924254)
0004ad1d-4272-43ba-b620-280d0e4b9a0f,Marathon Gas,,gas_station,0.9199122190475464,"{Microsoft,Overture,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals}",17503 W Colonial Dr,Oakland,FL,34787,4076549721,http://mymarathonstation.com/StoreHome/128322,,,open,28.5460522,-81.6505769,POINT(-81.6505769 28.5460522)
0006104d-d4b3-4edf-9e49-ae1c7cddd0df,Marathon Gas,,gas_station,0.9199122190475464,"{Microsoft,Overture,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals}",2119 E Morgan Ave,Evansville,IN,47711,8124379799,http://mymarathonstation.com/StoreHome/119669,,,open,37.9916435,-87.5260674,POINT(-87.5260674 37.9916435)
00066473-3d40-4707-90e3-0d39a93544ce,Exxon,,gas_station,0.85,"{Microsoft,Overture}",402 E. Columbia Ave,Leesville,SC,29070,8035323255,https://www.exxon.com/en/find-station/exxon-leesville-sc-mrb2-200329078?utm_medium=referral&utm_source=yxt-bing&utm_campaign=us_fue_ret_xom_yxt,,,,33.91602327392273,-81.51273018125384,POINT(-81.51273018125384 33.91602327392273)
00066b3d-a7c8-44a9-b804-9a51e1d1c462,CAT Scale,,truck_gas_station,0.85,"{Microsoft,Overture}",12681 Chestnut Blvd,Shakopee,MN,55379,9524452926,http://catscale.com/?utm_medium=yext&utm_source=bing,,,,44.76721529739662,-93.57815146641211,POINT(-93.57815146641211 44.76721529739662)
00069305-0ef0-40dc-8c72-ce5163862029,Shell,Shell,gas_station,0.9199122190475464,"{meta,Overture,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals,Overture-signals}",700 Oriole Dr,Peotone,IL,60468-8988,+17082582370,https://find.shell.com/us/fuel/10011170-700-oriole-drive,,{https://www.facebook.com/1406453329446946},open,41.32415726,-87.81643563,POINT(-87.81643563 41.32415726)
